,,Recensione,Esito
Yelp,134,The majority of the Logitech earbud headsets failed.,0
Yelp,135,Very good stuff for the price.,1
Yelp,136,My headset works just peachy-keen.,1
Yelp,137,In my house I was getting dropped coverage upstairs and no coverage in my basement.,0
Yelp,138,Voice recognition is tremendous!,1
Yelp,139,What a waste.,0
Yelp,140,"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0
Yelp,141,I was not happy with this item.,0
Yelp,142,very disappointed.,0
Yelp,143,The phone takes FOREVER to charge like 2 to 5 hours literally.,0
Yelp,144,I got this phone on reccomendation from a relative and I'm glad I did.,1
Yelp,145,What a waste of time!,0
Yelp,146,Its reception is very very poor.,0
Yelp,147,Items stated as included from the description ARE NOT INCLUDED.,0
Yelp,148,"After 3 months, screen just went black all of a sudden.",0
Yelp,149,I Was Hoping for More.,0
Yelp,150,"Audio Quality is poor, very poor.",0
Yelp,151,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1
Yelp,152,"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1
Yelp,153,I've bought $5 wired headphones that sound better than these.,0
Yelp,154,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1
Yelp,155,"Nice quality build, unlike some cheap s*** out there.",1
Yelp,156,This item is fantastic and works perfectly!,1
Yelp,157,And I just love the colors!,1
Yelp,158,W810i is just SUPERB.,1
Yelp,159,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0
Yelp,160,Great charger.,1
Yelp,161,This is essentially a communications tool that does not communicate.,0
Yelp,162,Works like a charm; it work the same as the one I got with the phone.,1
Yelp,163,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0
Yelp,164,Great Value.,1
Yelp,165,Doesn't work at all.. I bougth it for my L7c and its not working.,0
Yelp,166,"The look of it is very sharp and the screen is nice and clear, with great graphics.",1
Yelp,167,doesn't last long.,0
Yelp,168,One thing I hate is the mode set button at the side.,0
Yelp,169,EXCELLENT SERVICE!!!!!!!!.,1
Yelp,170,Thank you for wasting my money.,0
Yelp,171,How can that be?The audio quality is poor.,0
Yelp,172,The iGo chargers and tips are really great.,1
Yelp,173,The file browser offers all the options that one needs.Handsfree is great.,1
Yelp,174,Superb Phone on a Great Network.,1
Yelp,175,"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1
Yelp,176,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0
Yelp,177,It only recognizes the Phone as its storage device.,0
Yelp,178,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0
Yelp,179,Don't buy this product.,0
Yelp,180,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0
Yelp,181,The sound quality is good and functionality is awesome.,1
Yelp,182,"I have this phone and it is a thorn in my side, I really abhor it.",0
Yelp,183,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0
Yelp,184,Incredible!.,1
Yelp,185,Design Flaw?.,0
Yelp,186,Great phone!.,1
Yelp,187,Waste of 13 bucks.,0
Yelp,188,"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0
Yelp,189,The replacement died in a few weeks.,0
Yelp,190,Any ring tone..Overall good phone to buy..,1
Yelp,191,Lately they have been extremely nice and helpful on the phone.,1
Yelp,192,I have had problems wit hit dropping signal and more.,0
Yelp,193,Not impressed.,0
Yelp,194,"Light weight, I hardly notice it is there.",1
Yelp,195,You'll love how thin it is.,1
Yelp,196,Bad Choice.,0
Yelp,197,The pleather case doesn't fit.,0
Yelp,198,"useless phone, simply deaf.",0
Yelp,199,"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1
Yelp,200,All in all I think it was a good investment.,1
Yelp,201,It makes very strange ticking noises before it ends the call.,0
Yelp,202,The best electronics of the available FM Transmitters.,1
Yelp,203,Battery lasts only a few hours.,0
Yelp,204,"great headset, very impressed - H500.",1
Yelp,205,"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1
Yelp,206,I've had this for nearly 2 years and it has worked great for me.,1
Yelp,207,Good transmit audio.,1
Yelp,208,We are sending it back.,0
Yelp,209,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0
Yelp,210,"If you hate earbugs, avoid this phone by all means.",0
Yelp,211,Great price also!,1
Yelp,212,"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1
Yelp,213,fast service.,1
Yelp,214,I would highly recommend this.,1
Yelp,215,I would recommend this.,1
Yelp,216,"I also didn't like the ""on"" button, it felt like it would crack with use.",0
Yelp,217,WORST PHONE EVER.,0
Yelp,218,I'm still infatuated with this phone.,1
Yelp,219,Freezes frequently4.,0
Yelp,220,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0
Yelp,221,"Simple, lightweight and great fit.",1
Yelp,222,"All in all, I'd expected a better consumer experience from Motorola.",0
Yelp,223,There's a horrible tick sound in the background on all my calls that I have never experienced before.,0
Yelp,224,These are certainly very comfortable and functionality is decent.,1
Yelp,225,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1
Yelp,226,I'm a bit disappointed.,0
Yelp,227,"I have had this phone for over a year now, and I will tell you, its not that great.",0
Yelp,228,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0
Yelp,229,The battery is completely useless to me.,0
Yelp,230,What a big waste of time.,0
Yelp,231,Don't waste your $$$ on this one.,0
Yelp,232,Great sound and service.,1
Yelp,233,Really pleased with this product so far.,1
Yelp,234,One of my favorite purchases ever.,1
Yelp,235,best bluetooth on the market.,1
Yelp,236,Authentic leather with nice shine and comfort .I recommend you this case !!,1
Yelp,237,I was very excited to get this headset because I thought it was really cute.,1
Yelp,238,Do not make the same mistake as me.,0
Yelp,239,Big Disappointment with calendar sync.,0
Yelp,240,the phone was unusable and was not new.,0
Yelp,241,Worst Customer Service Ever.,0
Yelp,242,"No additional ear gels provided, and no instructions whatsoever.",0
Yelp,243,It defeats the purpose of a bluetooth headset.,0
Yelp,244,Worth every penny.,1
Yelp,245,Excellent wallet type phone case.,1
Yelp,246,Nice headphones for the price and they work great!,1
Yelp,247,Internet is excrutiatingly slow.,0
Yelp,248,"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1
Yelp,249,"It's fits like a glove and is strong, secure, and durable.",1
Yelp,250,O my gosh the best phone I have ever had.,1
Yelp,251,It's very attractive and appears to be of good quality.,1
Yelp,252,I love all the features and form factor.,1
Yelp,253,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0
Yelp,254,poor quality and service.,0
Yelp,255,"The cable looks so thin and flimsy, it is scary.",0
Yelp,256,Great Earpiece.,1
Yelp,257,Excellent hands free tool.,1
Yelp,258,Great for using with your home stereo.,1
Yelp,259,Good product - incredible value.,1
Yelp,260,Only had this a month but it's worked flawlessly so far.,1
Yelp,261,Works great.,1
Yelp,262,Absolutel junk.,0
Yelp,263,THAT one didn't work either.,0
Yelp,264,Battery life is real good.,1
Yelp,265,Returned 8 hours later.,0
Yelp,266,It's a great item.,1
Yelp,267,Don't waste your money!.,0
Yelp,268,Love this headset!,1
Yelp,269,"Not only will it drain your player, but may also potentially fry it.",0
Yelp,270,Worked perfectly!,1
Yelp,271,Unreliable - I'm giving up.,0
Yelp,272,I gave it 5 stars because of the sound quality.,1
Yelp,273,Avoid this one if you can.,0
Yelp,274,Reversible plug works great.,1
Yelp,275,I wasted my little money with this earpiece.,0
Yelp,276,Very good phone.,1
Yelp,277,"Best of all is the rotating feature, very helpful.",1
Yelp,278,Comfort for our whole family.,1
Yelp,279,"Good product, good seller.",1
Yelp,280,I love this bluetooth!,1
Yelp,281,"First of all, it doesn't wear well.",0
Yelp,282,I am very impressed with this headset from Plantronics.,1
Yelp,283,I got it because it was so small and adorable.,1
Yelp,284,Great phone!.,1
Yelp,285,I wouldn't recommend buying this product.,0
Yelp,286,Piece of Junk.,0
Yelp,287,Poorly contstruct hinge.,0
Yelp,288,"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1
Yelp,289,Great Phone.,1
Yelp,290,Don't buy it.,0
Yelp,291,Excellent Phone.,1
Yelp,292,DO NOT PURCHASE THIS PHONE.,0
Yelp,293,The voice recognition thru the handset is excellent.,1
Yelp,294,This is hands down the best phone I've ever had.,1
Yelp,295,"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1
Yelp,296,This one works and was priced right.,1
Yelp,297,Customer service was terrible.,0
Yelp,298,Battery life still not long enough in Motorola Razor V3i.,0
Yelp,299,Sending it back.,0
Yelp,300,Now I know that I made a wise decision.,1
Yelp,301,Someone shouldve invented this sooner.,1
Yelp,302,Good price.,1
Yelp,303,Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1
Yelp,304,I received it quickly and it works great!!,1
Yelp,305,Has been working great.,1
Yelp,306,"As many people complained, I found this headset's microphone was very weak.",0
Yelp,307,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0
Yelp,308,They do not care about the consumer one bit.,0
Yelp,309,"This is a good battery, and it got here really fast.",1
Yelp,310,The instruction manual is lacking.,0
Yelp,311,Also its slim enough to fit into my alarm clock docking station without removing the case.,1
Yelp,312,Phone now holds charge like it did when it was new.,1
Yelp,313,The battery is unreliable as well as the service use antena.,0
Yelp,314,It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0
Yelp,315,We have gotten a lot of compliments on it.,1
Yelp,316,This is definitely a must have if your state does not allow cell phone usage while driving.,1
Yelp,317,I want my money back.,0
Yelp,318,I love this device.,1
Yelp,319,I am also very happy with the price.,1
Yelp,320,I ordered this product first and was unhappy with it immediately.,0
Yelp,321,The Ngage is still lacking in earbuds.,0
Yelp,322,I was able to do voice dialing in the car with no problem.,1
Yelp,323,"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0
Yelp,324,"good item, low price.",1
Yelp,325,"However-the riingtones are not the best, and neither are the games.",0
Yelp,326,The plug did not work very well.,0
Yelp,327,AMAZON SUCKS.,0
Yelp,328,Rip off---- Over charge shipping.,0
Yelp,329,VERY comfortable.,1
Yelp,330,The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1
Yelp,331,The reception is excellent!,1
Yelp,332,"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1
Yelp,333,"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1
Yelp,334,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0
Yelp,335,Obviously there is a problem with the adhesive.,0
Yelp,336,Very disappointing.,0
Yelp,337,"It was an inexpensive piece, but I would still have expected better quality.",0
Yelp,338,It is practically useless and did not add any kind of boost to my reception after I bought it.,0
Yelp,339,Excellent sound quality.,1
Yelp,340,Was not happy.,0
Yelp,341,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0
Yelp,342,New Battery works great in phone.,1
Yelp,343,Worst customer service.,0
Yelp,344,"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1
Yelp,345,Reception is terrible and full of static.,0
Yelp,346,Good audio quality.,1
Yelp,347,This little device has transformed my organizational capability and made my life a whole lot easier.,1
Yelp,348,"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0
Yelp,349,Were JERKS on the phone.,0
Yelp,350,Works like a charm.. Works as advertised.,1
Yelp,351,"Comfortable, Nice Range, Good Battery Life.",1
Yelp,352,Their network coverage in Los Angeles is horrible.,0
Yelp,353,Excellent starter wireless headset.,0
Yelp,354,"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0
Yelp,355,The only thing that I think could improve is the sound leaks out from the headset.,0
Yelp,356,"First off the reception sucks, I have never had more than 2 bars, ever.",0
Yelp,357,The phone gets EXTREMELY HOT!,0
Yelp,358,"The microphone also works well, but (according to people I have called) it applifies everything.",1
Yelp,359,Nice design and quality.,1
Yelp,360,"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0
Yelp,361,"It is light, easy to use, and has very clear reception and transmission.",1
Yelp,362,"bad fit, way too big.",0
Yelp,363,It definitely was not as good as my S11.,1
Yelp,364,awesome device.,1
Yelp,365,Waste of money.,0
Yelp,366,"I had ordered a motorola data cable, got a very well finished and working product.",1
Yelp,367,Love This Phone.,1
Yelp,368,I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1
Yelp,369,"I'll be drivng along, and my headset starts ringing for no reason.",0
Yelp,370,Display is excellent and camera is as good as any from that year.,1
Yelp,371,Battery life is also great!,1
Yelp,372,The worst phone I've ever had.... Only had it for a few months.,0
Yelp,373,Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0
Yelp,374,This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0
Yelp,375,Protects the phone on all sides.,1
Yelp,376,This is a VERY average phone with bad battery life that operates on a weak network.,0
Yelp,377,"Clear Skype Calls, Long Battery Life, Long Range.",1
Yelp,378,Soyo technology sucks.,0
Yelp,379,Great Hands Free Device.,1
Yelp,380,"you can even take self portraits with the outside (exterior) display, very cool.",1
Yelp,381,Same problem as others have mentioned.,0
Yelp,382,After trying many many handsfree gadgets this is the one that finally works well.,1
Yelp,383,Magical Help.,1
Yelp,384,The worst piece of crap ever along with the Verizon customer service.,0
Yelp,385,Poor sound quality.,0
Yelp,386,The best phone in market :).,1
Yelp,387,It worked very well.,1
Yelp,388,The company shipped my product very promptly and it works well.,1
Yelp,389,Exactly what I wanted.,1
Yelp,390,The picture resolution is far below what other comparably-priced phones are offering today.,0
Yelp,391,This is a great deal.,1
Yelp,392,"Excellent product, I am very satisfied with the purchase.",1
Yelp,393,I highly recommend these and encourage people to give them a try.,1
Yelp,394,Better than you'd expect.,1
Yelp,395,"Using all earpieces, left or right, this thing will not stay on my ear.",0
Yelp,396,Great product and price.,1
Yelp,397,"Sounds good reasonably priced and effective, Its that simple !",1
Yelp,398,Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0
Yelp,399,what a disappointment,0
Yelp,400,Very prompt service.,1
Yelp,401,Excellent product for the price.,1
Yelp,402,Very pleased with this headset.,1
Yelp,403,don't waste your money and time.,0
Yelp,404,I especially love the long battery life.,1
Yelp,405,"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0
Yelp,406,Works great.,1
Yelp,407,Plantronics Bluetooth Excelent Buy.,1
Yelp,408,I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0
Yelp,409,I'll be looking for a new earpiece.,0
Yelp,410,I highly recommend this device to everyone!,1
Yelp,411,Jawbone Era is awesome too!,1
Yelp,412,We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0
Yelp,413,After a year the battery went completely dead on my headset.,0
Yelp,414,"I have used several phone in two years, but this one is the best.",1
Yelp,415,An Awesome New Look For Fall 2000!.,1
Yelp,416,This is the first phone I've had that has been so cheaply made.,0
Yelp,417,"Att is not clear, sound is very distorted and you have to yell when you talk.",0
Yelp,418,The plastic breaks really easy on this clip.,0
Yelp,419,Price is good too.,1
Yelp,420,Don't make the same mistake I did.,0
Yelp,421,Oh and I forgot to also mention the weird color effect it has on your phone.,0
Yelp,422,I'm using it with an iriver SPINN (with case) and it fits fine.,1
Yelp,423,Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0
Yelp,424,"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1
Yelp,425,"every thing on phone work perfectly, she like it.",1
Yelp,426,"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0
Yelp,427,IT'S REALLY EASY.,1
Yelp,428,My Sanyo has survived dozens of drops on blacktop without ill effect.,1
Yelp,429,Fantastic earphones.,1
Yelp,430,It finds my cell phone right away when I enter the car.,1
Yelp,431,Low Quality.,0
Yelp,432,I highly recommend this modest priced cellular phone.,1
Yelp,433,But it does get better reception and clarity than any phone I've had before.,1
Yelp,434,Warning - Stay away.,0
Yelp,435,I wish I could return the unit and get back my money.,0
Yelp,436,Awsome Device Works Great!!.,1
Yelp,437,I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0
Yelp,438,"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0
Yelp,439,Very Displeased.,0
Yelp,440,"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0
Yelp,441,They made this case too small and is very difficult to install.,0
Yelp,442,Restored my phone to like new performance.,1
Yelp,443,"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1
Yelp,444,"I searched the Internet, and found this one to be the best value.",1
Yelp,445,Does not fit.,0
Yelp,446,Very happy with this product.,1
Yelp,447,"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1
Yelp,448,There's really nothing bad I can say about this headset.,0
Yelp,449,"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1
Yelp,450,Portable and it works.,1
Yelp,451,"My colleague & I now get great reception.A little expensive, but performance is great.",1
Yelp,452,I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0
Yelp,453,I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0
Yelp,454,Not good when wearing a hat or sunglasses.,0
Yelp,455,Timely shipment and quality product.,1
Yelp,456,Nice solid keyboard.,1
Yelp,457,Very well made and fits my Surefire GX2 perfectly.,1
Yelp,458,Horrible phone.,0
Yelp,459,BT50 battery junk!.,0
Yelp,460,We would recommend these to others.,1
Yelp,461,Cant get the software to work with my computer.,0
Yelp,462,Disappointed!.,0
Yelp,463,poor voice clarity.,0
Yelp,464,The battery works great!,1
Yelp,465,No buyers remorse on this one!.,0
Yelp,466,Very disappointed in AccessoryOne.,0
Yelp,467,I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0
Yelp,468,"Looks great and is strong.""",1
Yelp,469,"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",1
Yelp,470,The update procedure is difficult and cumbersome.,0
Yelp,471,Disappointment.. I hate anything that goes in my ear.,0
Yelp,472,Great software for Motorolas.,1
Yelp,473,The delivery was on time.,1
Yelp,474,Very easy to use.,1
Yelp,475,"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",0
Yelp,476,The volume switch rocketed out of the unit to a destination unknown.,0
Yelp,477,"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1
Yelp,478,I'd like to return it.,0
Yelp,479,The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1
Yelp,480,"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0
Yelp,481,"After charging overnight, these batteries work great.",1
Yelp,482,You won't regret it!,1
Yelp,483,I love this phone!.,1
Yelp,484,A Disappointment.,0
Yelp,485,Its not user friendly.,0
Yelp,486,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0
Yelp,487,"Then I exchanged for the same phone, even that had the same problem.",0
Yelp,488,This results in the phone being either stuck at max volume or mute.,0
Yelp,489,This PDA rocks.,1
Yelp,490,"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1
Yelp,491,"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1
Yelp,492,I had Verizon 2 years ago and really liked their service.,1
Yelp,493,Pretty piece of junk.,0
Yelp,494,Plug was the wrong size.,0
Yelp,495,Works as described.,1
Yelp,496,Save your money.... I've had this item for 11 months now.,0
Yelp,497,Bad Purchase.,0
Yelp,498,WELL IM SATISFIED.,1
Yelp,499,"The bose noise cancelling is amazing, which is very important for a NYC commuter.",1
Yelp,500,This battery is an excellent bargain!,1
Yelp,501,Defective crap.,0
Yelp,502,I would have given no star if I was able.,0
Yelp,503,I wear glasses and it fits fine with them.,1
Yelp,504,"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",0
Yelp,505,I would not recommend this item to anyone.,0
